g band,r band,age [Gyr]
-8.175058,-8.950107,6.628892752006347
-8.599578,-9.340535,4.738563706001441
-7.742458,-8.636931,7.206272504653667
-8.479071,-9.21819,4.6190695392533225
-8.430007,-9.180005,5.115549501245649
-8.175108,-8.930893,5.40247230358189
-8.553591,-9.442508,4.954445966665059
-8.0368185,-8.801566,5.908232417812505
-8.424458,-9.185988,5.715596756393287
-8.523521,-9.262655,4.583731609347945
-8.590688,-9.336812,4.942080195061976
-8.363779,-9.279554,6.393151024996615
-8.6826725,-9.425605,4.814317488548978
-8.210114,-8.987306,6.87487222074227
-8.325694,-9.106203,7.2440650572124365
-8.718986,-9.503718,7.176513595803513
-8.267904,-9.14233,7.216277515507683
-8.532086,-9.291262,5.583409906566763
-8.031343,-8.964632,7.185448028594962
-8.347456,-9.176102,7.234378638566972
-8.346757,-9.117996,6.413506466146177
-8.158919,-8.937071,6.7970930017659725
-8.466803,-9.31059,7.220357527445878
-8.182784,-9.059058,7.2179099249141965
-8.859814,-9.633288,6.538983341187227
-7.4735584,-8.399147,6.663541702538488
-8.573417,-9.35747,7.139114251935366
-8.1009245,-9.004921,7.219867814724281
-8.047321,-8.817582,6.351060645266795
-8.482245,-9.228559,4.950392290228191
-8.430385,-9.210953,6.931586368911536
-8.219531,-8.992903,6.533170423169346
-8.538028,-9.289418,5.180629866853533
-8.117396,-8.9014015,7.136230187634987
-8.614968,-9.386579,6.434175320373561
-8.221555,-9.063843,7.24597665563189
-8.338475,-9.123205,7.176349333607025
-8.402988,-9.165343,5.76387697640882
-8.2359295,-9.015601,6.880304964686216
-8.259747,-9.1037855,7.237106462314854
-7.7271724,-8.605653,7.09285601069024
-9.13812,-9.882214,4.859488455014468
-8.289455,-9.02944,4.701666484590625
-8.545646,-9.320327,6.607761710840069
-8.531202,-9.315775,7.167897424627767
-7.958131,-8.725141,6.13244242895373
-7.676061,-8.595535,5.934413343272647
-8.105003,-8.996234,7.206640067514019
-8.712186,-9.455218,4.81820686550105
-8.105894,-8.866946,5.687753403008223
-7.8065543,-8.72686,7.212726229394304
-8.354295,-9.136731,7.042098362749627
-8.091678,-8.873662,7.015228024399253
-8.326369,-9.234224,6.604615134007251
-8.558548,-9.339273,6.940862220630919
-9.156793,-9.920348,5.834968426318129
-8.318242,-9.100267,7.017567807709003
-8.078121,-8.846561,6.231715372209826
-8.848816,-9.60094,6.897940027347497
-8.22416,-8.99952,6.646842036464291
